Unnamed: 0,Player,height,weight,collage,born,birth_city,birth_state,height_m,bmi
649,Jesse Branson,201.0,88.0,Elon University,1942.0,Burlington,North Carolina,2.01,21.7816390683399
650,Bill Buntin,201.0,113.0,University of Michigan,1942.0,Detroit,Michigan,2.01,27.96960471275464
651,Barry Clemens,198.0,95.0,Ohio Wesleyan University,1943.0,Dayton,Ohio,1.98,24.232221201918172
652,Billy Cunningham*,198.0,95.0,University of North Carolina,1943.0,Brooklyn,New York,1.98,24.232221201918172
653,Keith Erickson,196.0,88.0,"University of California, Los Angeles",1944.0,San Francisco,California,1.96,22.907122032486466
654,John Fairchild,203.0,92.0,Brigham Young University,1943.0,Encinitas,California,2.03,22.32522021888423
655,Will Frazier,201.0,95.0,Grambling State University,1942.0,Minden,Louisiana,2.01,23.514269448776027
656,Gail Goodrich*,185.0,77.0,"University of California, Los Angeles",1943.0,Los Angeles,California,1.85,22.498173849525198
657,Fred Hetzel,203.0,99.0,Davidson College,1942.0,Washington,District of Columbia,2.03,24.023878279016728
658,Jon McGlocklin,196.0,92.0,Indiana University,1943.0,Franklin,Indiana,1.96,23.94835485214494
659,Thales McReynolds,190.0,83.0,Miles College,1943.0,Birmingham,Alabama,1.9,22.991689750692522
660,Ron Reed,196.0,92.0,University of Notre Dame,1942.0,La Porte,Indiana,1.96,23.94835485214494
661,Jerry Sloan*,196.0,88.0,University of Evansville,1942.0,McLeansboro,Illinois,1.96,22.907122032486466
662,Willie Somerset,173.0,77.0,Duquesne University,1942.0,Sharon,Pennsylvania,1.73,25.727555214006482
663,Dave Stallworth,201.0,90.0,Wichita State University,1941.0,Dallas,Texas,2.01,22.276676319893078
664,Joe Strawder,208.0,106.0,Bradley University,1940.0,Belle Glade,Florida,2.08,24.500739644970412
665,Dick Van,208.0,106.0,,1940.0,,,2.08,24.500739644970412
666,Tom Van,208.0,106.0,,1940.0,,,2.08,24.500739644970412
667,Bob Warlick,196.0,90.0,Pepperdine University,1941.0,Hickory,North Carolina,1.96,23.427738442315704
668,Jim Washington,198.0,95.0,Villanova University,1943.0,Philadelphia,Pennsylvania,1.98,24.232221201918172
669,Ron Watts,198.0,95.0,Wake Forest University,1943.0,,,1.98,24.232221201918172
670,Bob Weiss,188.0,81.0,Pennsylvania State University,1942.0,Easton,Pennsylvania,1.88,22.917609778180175
671,Henry Akin,208.0,102.0,Morehead State University,1944.0,Detroit,Michigan,2.08,23.57618343195266
672,Johnny Austin,183.0,77.0,Boston College,1944.0,Washington,District of Columbia,1.83,22.99262444384723
673,Jim Barnett,203.0,95.0,University of Texas at El Paso,1941.0,Tuckerman,Arkansas,2.03,23.053216530369586
674,Dave Bing*,190.0,81.0,Syracuse University,1943.0,Washington,District of Columbia,1.9,22.437673130193907
675,John Block,206.0,93.0,University of Southern California,1944.0,Los Angeles,California,2.06,21.91535488735979
676,Nate Bowman,208.0,104.0,Wichita State University,1943.0,Fort Worth,Texas,2.08,24.038461538461537
677,Jerry Chambers,196.0,83.0,University of Utah,1943.0,Washington,District of Columbia,1.96,21.605581007913372
678,Archie Clark,188.0,79.0,University of Minnesota,1941.0,Conway,Arkansas,1.88,22.351742870076958
679,Freddie Crawford,193.0,85.0,St. Bonaventure University,1941.0,New York,New York,1.93,22.819404547773097
680,Dave Deutsch,185.0,77.0,University of Rochester,1945.0,Brooklyn,New York,1.85,22.498173849525198
681,Joe Ellis,198.0,79.0,University of San Francisco,1944.0,,,1.98,20.15100499948985
682,Hank Finkel,213.0,108.0,University of Dayton,1942.0,Union City,New Jersey,2.13,23.804800634794688
683,Matt Guokas,190.0,88.0,Saint Joseph's University,1915.0,,,1.9,24.37673130193906
684,Bob Hogsett,201.0,104.0,University of Tennessee,1941.0,,,2.01,25.741937080765336
685,Lou Hudson,196.0,95.0,University of Minnesota,1944.0,Greensboro,North Carolina,1.96,24.729279466888798
686,Neil Johnson,203.0,95.0,Ohio State University,1929.0,Chillicothe,Ohio,2.03,23.053216530369586
687,Toby Kimball,198.0,99.0,University of Connecticut,1942.0,Framingham,Massachusetts,1.98,25.252525252525253
688,Tommy Kron,196.0,90.0,University of Kentucky,1943.0,,,1.96,23.427738442315704
689,Clyde Lee,208.0,92.0,Vanderbilt University,1944.0,Nashville,Tennessee,2.08,21.26479289940828
690,Bob Love,203.0,97.0,Southern University and A&M College,1942.0,Bastrop,Louisiana,2.03,23.538547404693155
691,Jack Marin,201.0,90.0,Duke University,1944.0,Sharon,Pennsylvania,2.01,22.276676319893078
692,Bill Melchionni,185.0,74.0,Villanova University,1944.0,Philadelphia,Pennsylvania,1.85,21.62162162162162
693,Wayne Molis,203.0,104.0,Lewis University,1943.0,Chicago,Illinois,2.03,25.237205464825653
694,Erwin Mueller,203.0,104.0,University of San Francisco,1944.0,,,2.03,25.237205464825653
695,Dorie Murrey,203.0,97.0,University of Detroit Mercy,1943.0,,,2.03,23.538547404693155
696,Flynn Robinson,185.0,83.0,University of Wyoming,1941.0,Elgin,Illinois,1.85,24.251278305332356
697,Cazzie Russell,196.0,98.0,University of Michigan,1944.0,Chicago,Illinois,1.96,25.510204081632654
698,Dave Schellhase,190.0,92.0,Purdue University,1944.0,Evansville,Indiana,1.9,25.48476454293629
699,Dick Snyder,196.0,93.0,Davidson College,1944.0,North Canton,Ohio,1.96,24.20866305705956
700,Jim Ware,201.0,95.0,Oklahoma City University,1944.0,Natchez,Mississippi,2.01,23.514269448776027
701,Walt Wesley,211.0,99.0,University of Kansas,1945.0,Fort Myers,Florida,2.11,22.23669728891984
702,Bud Acton,198.0,95.0,Hillsdale College,1942.0,,,1.98,24.232221201918172
703,Cliff Anderson,188.0,90.0,Saint Joseph's University,1944.0,,,1.88,25.46401086464464
704,Bill Bradley*,196.0,92.0,Princeton University,1943.0,Crystal City,Missouri,1.96,23.94835485214494
705,Tyrone Britt,193.0,86.0,Johnson C. Smith University,1944.0,,,1.93,23.087868130688072
706,Jim Burns,190.0,88.0,Northwestern University,1945.0,,,1.9,24.37673130193906
707,Jim Caldwell,208.0,108.0,Georgia Institute of Technology,1943.0,Durham,North Carolina,2.08,24.96301775147929
708,George Carter,193.0,95.0,St. Bonaventure University,1944.0,Buffalo,New York,1.93,25.50404037692287
709,Jim Davis,206.0,102.0,University of Colorado,1941.0,Muncie,Indiana,2.06,24.036195682910737
710,Bill Dinwiddie,201.0,99.0,New Mexico Highlands University,1943.0,,,2.01,24.504343951882387
711,Sonny Dove,201.0,89.0,St. John's University,1945.0,Brooklyn,New York,2.01,22.02915769411649
712,Ron Filipek,196.0,92.0,Tennessee Technological University,1944.0,,,1.96,23.94835485214494
713,Jim Fox,208.0,104.0,University of South Carolina,1943.0,Atlanta,Georgia,2.08,24.038461538461537
714,Walt Frazier*,193.0,90.0,Southern Illinois University,1945.0,Atlanta,Georgia,1.93,24.161722462347985
715,Mal Graham,185.0,83.0,New York University,1945.0,,,1.85,24.251278305332356
716,Gary Gray,185.0,83.0,Oklahoma City University,1945.0,,,1.85,24.251278305332356
717,Dennis Hamilton,203.0,95.0,Arizona State University,1944.0,Huntington Beach,California,2.03,23.053216530369586
718,Clem Haskins,190.0,88.0,Western Kentucky University,1943.0,Campbellsville,Kentucky,1.9,24.37673130193906
719,Al Jackson,185.0,83.0,Wilberforce University,1943.0,Cleveland,Ohio,1.85,24.251278305332356
720,Phil Jackson*,203.0,99.0,University of North Dakota,1945.0,Deer Lodge,Montana,2.03,24.023878279016728
721,Johnny Jones,201.0,92.0,"California State University, Los Angeles",1943.0,Washington,District of Columbia,2.01,22.771713571446256
722,Nick Jones,188.0,86.0,University of Oregon,1945.0,,,1.88,24.332277048438208
723,Dave Lattin,198.0,102.0,University of Texas at El Paso,1943.0,Houston,Texas,1.98,26.017753290480563
